Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2200;20;0.010086009954079803;0.57566102394023855;15.086432928897411;108.67389749748249;0.017787717330727121;0.36909623507757061;0.093798422959747024;0.10554088149505672;0.22203315688504577;0.01415072921799098;0.57498217686387498;15.010450858072138;109.78103140168753;0.018917908684694357;0.35581406559455075;0.098339354084547595;0.10424136328296942;0.22581120731481452;0.0098892620584801957;0.57590312955999312;15.020961408436257;108.26153152009769;0.017858214807466705;0.37625619132519716;0.093297300114814477;0.10613078422594592;0.22216825868249759;0.010747074540237947;0.57600941831434138;14.971115247438551;108.07632938393937;0.010089372353573592;0.57572723068475762;15.086244215990609;108.56489639154825;0.017759465374605127;0.37880364250071352;0.094334984729010404;0.1047850236901092;0.22178880692754144
2200;21;0.015626452642122795;0.57699045552524342;14.684924780113752;106.42062492855088;0.018662462506153506;0.72521151700257747;0.0918978840037524;0.10876551836937372;0.22352383291911759;0.043440736775104398;0.57731247383785322;13.877881170257927;105.71903006182986;0.020306526059170056;0.54899268563257664;0.10030471713132012;0.11140696008054177;0.2362697921136937;0.021343502609309083;0.57834243532074103;14.301955210935056;104.18521538349806;0.019359072020396838;0.39428751542303075;0.090114191507026181;0.11174837491178893;0.22481804720809773;0.021250047328026388;0.57831725115062826;14.306298238144644;104.22577136876222;0.016012717629841942;0.57703751163419781;14.675014732804684;106.34273829112999;0.018618530345301022;0.71125635909261575;0.092115876646869974;0.10853136398427912;0.22350965932677641
2200;22;0.01481784182680013;0.57509068289000809;15.128343828837689;109.62696151558013;0.015851250932754839;0.44132210394813853;0.095556784895081376;0.10508209369462472;0.22350777092251636;0.033219741609083385;0.57572671958669464;14.596142267850169;108.45509184294177;0.016856612469914788;0.37235254650820337;0.099194571890979438;0.10695903050509516;0.22982011419812429;0.019666249253620812;0.5759256052704278;14.866919444624529;108.19028410433749;0.01570903852489167;0.25788696534796429;0.094039598067913219;0.10755470248928808;0.22456315249585762;0.019114594998775842;0.57588633846380644;14.877190186031012;108.25695190202329;0.014692591373554423;0.57515950803227256;15.127789005783402;109.51246750639963;0.015816289169098333;0.4189821298126617;0.095925600340927661;0.10449107275926824;0.22325751608572195
2200;23;0.010265568012298526;0.57850144820800686;14.31855465116843;103.93941624212923;0.022737601814718619;0.63314070691795621;0.090275514997991191;0.11068268850466652;0.22393997662449935;0.05593607972505648;0.57994231363986293;12.718453879847949;101.33576518023325;0.027410020007886594;0.8360481772937689;0.1030339617204374;0.11904220689336807;0.24835511974316243;0.012652822698927214;0.57953094067886157;14.091816265010495;102.28953779017473;0.023885719961962856;0.98998754214694173;0.088512771809461765;0.11243038366395362;0.22393032419355419;0.011988647226582456;0.57911015532450849;14.197092356768682;102.96328088320662;0.010272414006072867;0.57850203740960016;14.318455609715663;103.9384707025166;0.022542466148487546;0.61214584844471176;0.090273560429545749;0.11068375874540558;0.22393943418203652
2200;24;0.01033098021266664;0.57602694511418673;14.927901286052538;108.03801909436959;0.018234310373178624;0.41789849847422289;0.093635152146286427;0.10668533248412652;0.22319455273486763;0.045005571325519141;0.57756238994327447;13.731603561391513;105.28613983218119;0.020579796675808146;0.76261054812025719;0.10079609541089762;0.11237635627709673;0.23798055173979152;0.011944452957687013;0.57658954491750158;14.774469561674557;107.0878588521975;0.018494478417468402;0.67964124976498397;0.09262303750643866;0.10799716846513736;0.223566303427401;0.011989750785209216;0.57639959953907227;14.838808022052516;107.41045437958248;0.01033098021266664;0.57645823472725621;14.927901286052538;107.33500067919361;0.018459157122667123;0.39149902153656768;0.090780203912981292;0.10808979444953032;0.22158140613439409
2200;25;0.022558619194945378;0.57868604129374701;14.223269586378038;103.62922987194079;0.019850713478209252;0.36332339867453101;0.089528985890374113;0.11239199767255661;0.2248595496039453;0.057083466222382494;0.57827919699230745;13.488992068745743;104.09584005829144;0.020979974040270782;1.421020114659477;0.10073982647303376;0.11403391488095786;0.2396938786719304;0.023569595739342992;0.58075277585075025;14.130858038273045;100.43611293490193;0.021048929820585489;0.34548032922252503;0.082838576456562674;0.11366510607443388;0.21875306763085359;0.027258166444101239;0.57918848499940012;14.131024373284042;102.82708872937502;0.022713438037273687;0.57870268009713988;14.22101673503091;103.60273802876652;0.019670087611534687;0.35582437444610093;0.089515007954451317;0.11238480778490896;0.22483524888765263
2200;26;0.023471461793504119;0.57616018070360608;14.770361981688437;107.78501140199002;0.016011298725312696;0.22358364008283615;0.093985807097895363;0.10821226748590099;0.22525362330576049;0.042601918090426641;0.57639933765377782;14.330964694132701;107.29537169024816;0.016850375291030433;0.91438903236404911;0.099030916581019368;0.10888986919553457;0.23176492284568215;0.034481741455747207;0.57713672298758023;14.554817466676106;106.15645334267626;0.016226534800695944;0.26140466539885665;0.091763924687812665;0.11037291401687566;0.22512249900697767;0.02229031520120452;0.57653039553648922;14.772926198012492;107.18338186237895;0.025730290297613131;0.57685434522716561;14.73619634970238;106.65131043877719;0.016439893154242734;0.24376889099535504;0.088598736679212212;0.11174368077297843;0.22319623061717186
2200;27;0.044939525049574318;0.5827653897643994;13.52381556182562;97.318843208326882;0.02280747556741395;0.17696447577080221;0.081589775550746257;0.11794259532438195;0.22178279811267237;0.068444220392480437;0.57924492512107939;13.225549595899164;102.52926984676067;0.022246133965772717;0.47441678792061737;0.09993826813043992;0.11606978133119855;0.24091133445186436;0.034559620453222521;0.58441222705193763;13.635980143662007;94.97662537045727;0.02361613722650795;0.12063377989139923;0.074664395392186;0.11789411987095431;0.21388798391171074;0.044443014148200496;0.58426002099316787;13.49987685576211;95.163343142444546;0.045127260197418188;0.58351466719074241;13.514890802260362;96.232234402651358;0.023347804567919437;0.18897102582950964;0.08690743563313752;0.11031240696425272;0.21919377942903995
2200;28;0.014476047377780637;0.57898775109260869;14.661025383903734;103.25551086572536;0.016235160565502411;0.089448823581683712;0.081953632024276774;0.1127447242133459;0.21654107956866026;0.038004051135307464;0.5771131354890463;14.33360560601014;106.1440714993051;0.017169768289958771;0.21920073977046428;0.095462620927249539;0.11019757388895061;0.22895649172989621;0.0099328150757842341;0.57926236391550778;14.706090501086905;102.83897561653644;0.015813837411259277;0.070837672931567397;0.080324839945368501;0.11287388177480939;0.21483684070192213;0.012543338722303584;0.57923687760747478;14.669585125771862;102.87059867735955;0.013271503076546233;0.57908878117249296;14.674853107108447;103.10145960437391;0.016073076874858448;0.084965641774203959;0.081150785746247817;0.11302871237989305;0.2159558217773406
2200;29;0.0065917862900349003;0.57980875100260576;14.721035914512324;101.99980939413746;0.01668575961263092;0.080273176610567987;0.077812433748355947;0.11345935423385871;0.21264973527691755;0.025106945981016811;0.57842837659309998;14.455360303598701;104.08451728362797;0.017156354542329187;0.038785266912988448;0.088993320729178635;0.11059276157037941;0.22193009841378106;0.0057336249034318299;0.57987128869683291;14.720890343964495;101.90385288860485;0.016447198274986006;0.080259144495720136;0.077400794571891224;0.11367176574797;0.21242980246396165;0.0051578273503118379;0.57982571035930464;14.737970019638761;101.97738357728147;0.004223039353211425;0.57994973083939361;14.743103886617559;101.78838226226758;0.016609919410310769;0.080024119873733923;0.076556539849070723;0.11396628228669081;0.21180720702692513
2200;30;0.0010138427335797215;0.5754891462441083;15.343335555915235;109.01401933559531;0.012319706759270287;0.029998387773844115;0.083764394257334326;0.11262894997137964;0.21866421456317667;0.0008563327422730989;0.57545865271708907;15.349096280866751;109.06567944328854;0.013231117757197382;-0.0039780706821090916;0.083956908229052551;0.11245528241046567;0.21868812040511326;0.00099581457354094177;0.57550952130466637;15.338775383641257;108.97936066069423;0.012114915914539037;0.030154675591198554;0.083633214191985217;0.11275525820702585;0.21865917895115952;0.0010031096159588122;0.57549355491274035;15.341878526242116;109.00641618607627;0.0015281899661236849;0.57553592329161796;15.330544266793975;108.93395993433057;0.012233996210724378;0.030181375548465894;0.08364772807016628;0.11276650248165414;0.21868835475367068
2300;31;0.0021206703826130322;0.52344579092863908;60.394563564409232;259.83289550732763;0.0039030604905826963;2.0148550853384961;0.0;0.11251854946827121;0.12522875594344765;0.022281289721975957;0.51718723573890601;64.047733105229042;289.12230513752934;0.0031369625025423975;0.72020611677174884;0.0;0.11827059779183147;0.13210090330851834;0.0021836128697308014;0.52397666597934034;60.04271356680681;257.49777161773994;0.0040127657284452041;4.927682718385995;0.0;0.11214756928872953;0.12478640226659195;0.0021160205370046848;0.5236096741573838;60.166033887074065;259.09454687163128;0.0021220846342374336;0.52345393922672123;60.390909116906151;259.79709763195319;0.0038815467751239863;2.6436578642758946;0.0;0.11250953400041022;0.12521800470917416
2300;32;0.002121069195866891;0.51911642810882075;64.394102328417858;279.91243908878664;0.0026385963440056625;1.2504910232948419;0.0;0.11372855530336261;0.1266722962671738;0.011073603083843853;0.51587724185012074;66.76478581770283;295.95941047892632;0.0026777000650153415;0.40968002472823173;0.0;0.1160626214342438;0.12946000823093284;0.0021834101734184716;0.51941446881639908;64.17355438112277;278.48430245242474;0.0026633096503464221;3.0629665579752441;0.0;0.11353009785718435;0.12643545867048869;0.0021155159107452653;0.51920858472780029;64.252211267794721;279.46065616973402;0.0021495928188118409;0.51918760203035919;64.390045991967511;279.57681548950831;0.0026331751003418218;1.6672841800357219;0.0;0.11359457536000819;0.1265124023112289
2300;33;0.0021358016423262162;0.51915479454409985;64.388964484673892;279.73109138341613;0.0026545875296691041;0.96582131868103716;0.0;0.11366155571149236;0.12659233608554873;0.014210342494333634;0.51612137220681742;66.184945043208245;294.66343436887621;0.0025574493057370488;0.34525337896411656;0.0;0.11658540912169922;0.1300849695170388;0.0020436041281689035;0.51939240495085026;64.1770399237992;278.58812864635667;0.002674997924559515;1.3760886690306506;0.0;0.1135675930093122;0.1264802027800975;0.0021194949131414622;0.51921570223112423;64.246613228750519;279.42647513377011;0.0022048366370374822;0.51928235173949966;64.337120566169773;279.12470799975534;0.0026512006944090995;2.6790007197803334;0.0;0.1135008354856283;0.12640053973993093
2300;34;0.0021362507978501112;0.51697990986445463;66.925278406187033;290.5095026839391;0.0021460280467685312;0.56459091279492668;0.0;0.1135641309432122;0.12647607134566768;0.0078273599088246465;0.51539234123769129;67.983355589280208;298.55876588068247;0.002321438730849387;0.17997027063785254;0.0;0.11494367682457632;0.12812307026692391;0.0020434144906060921;0.51711336833928789;66.80362323197339;289.83967014888577;0.0021426185557310773;0.81206332179704077;0.0;0.11350656654879661;0.12640737859370252;0.0021195762908690278;0.51701375968109897;66.842325086387561;290.33285870406002;0.0024662176195410523;0.51721050214148823;66.875415563657313;289.37344524433939;0.0021547055623501381;1.561750211779156;0.0;0.11319110004546339;0.12603097131931751
2300;35;0.0020918452606129259;0.51929095209466669;64.196583252186826;279.0665355548162;0.0026689866128986905;2.1353715324679001;0.0;0.11373391617578454;0.12667869431071668;0.01576607441587155;0.51624647014195535;65.725035874891631;293.9802508369076;0.0025118852451054387;-1.3179684044374085;0.0;0.11714912616933039;0.13075908917734805;0.0021676204776937416;0.5193647566359112;64.126616256841288;278.71135803718818;0.0026695100896714109;2.408380864615367;0.0;0.11371232829464362;0.12665292994400451;0.0020028763006411788;0.51953704884367458;63.974967460993362;277.88560835131796;0.0020911481971614054;0.51929361654420025;64.201115059246249;279.05459858099692;0.0026555593717390315;1.6278509658803841;0.0;0.11372054699203003;0.12666273862424601
2300;36;0.0020916273823575081;0.51705609666671759;66.81372878766048;290.12158705329119;0.0021437950028549342;1.2569265218232317;0.0;0.11360323222445251;0.12652273314477613;0.0087552521295597707;0.51545977684987965;67.731586758126312;298.18537907076552;0.0022569454993137199;-0.71903808996296448;0.0;0.11523711813917752;0.12847358824809671;0.0021672155702047937;0.51709793462763043;66.770318550298583;289.91105521668061;0.0021382009397991142;1.4194877566609421;0.0;0.1135942797310666;0.12651204951783473;0.0020099823643250948;0.51719278373406086;66.684924511986694;289.43602753996487;0.002071535983648916;0.51706885927081514;66.817714679902309;290.0595264567869;0.0021343147102975885;0.94382226603784147;0.0;0.11357100749912388;0.12648427744868843
